t v x
0.244 -0.1996 -0.0348966
0.246 -0.188248 -0.0352958
0.248 -0.17679 -0.0356723
0.25 -0.165235 -0.0360258
0.252 -0.153591 -0.0363563
0.254 -0.141868 -0.0366635
0.256 -0.130072 -0.0369472
0.258 -0.118214 -0.0372074
0.26 -0.106301 -0.0374438
0.262 -0.0943421 -0.0376564
0.264 -0.0823467 -0.0378451
0.266 -0.0703232 -0.0380098
0.268 -0.0582805 -0.0381504
0.27 -0.0462273 -0.038267
0.272 -0.0341724 -0.0383594
0.274 -0.0221246 -0.0384278
0.276 -0.0100927 -0.038472
0.278 0.00191473 -0.0384922
0.28 0.0138889 -0.0384884
0.282 0.0258213 -0.0384606
0.284 0.0377035 -0.038409
0.286 0.0495269 -0.0383336
0.288 0.0612833 -0.0382345
0.29 0.0729645 -0.0381119
0.292 0.0845624 -0.037966
0.294 0.0960689 -0.0377969
0.296 0.107476 -0.0376047
0.298 0.118777 -0.0373898
0.3 0.129963 -0.0371522
0.302 0.141027 -0.0368923
0.304 0.151963 -0.0366103
0.306 0.162762 -0.0363063
0.308 0.173419 -0.0359808
0.31 0.183926 -0.035634
0.312 0.194276 -0.0352661
0.314 0.204465 -0.0348776
0.316 0.214485 -0.0344686
0.318 0.22433 -0.0340397
0.32 0.233996 -0.033591
0.322 0.243476 -0.033123
0.324 0.252766 -0.0326361
0.326 0.26186 -0.0321305
0.328 0.270753 -0.0316068
0.33 0.279442 -0.0310653
0.332 0.287921 -0.0305064
0.334 0.296187 -0.0299306
0.336 0.304235 -0.0293382
0.338 0.312062 -0.0287297
0.34 0.319665 -0.0281056
0.342 0.32704 -0.0274663
0.344 0.334185 -0.0268122
0.346 0.341096 -0.0261438
0.348 0.347772 -0.0254616
0.35 0.354209 -0.0247661
0.352 0.360407 -0.0240577
0.354 0.366362 -0.0233369
0.356 0.372073 -0.0226041
0.358 0.37754 -0.02186
0.36 0.38276 -0.0211049
0.362 0.387732 -0.0203394
0.364 0.392457 -0.0195639
0.366 0.396933 -0.018779
0.368 0.401159 -0.0179851
0.37 0.405136 -0.0171828
0.372 0.408864 -0.0163726
0.374 0.412342 -0.0155548
0.376 0.415571 -0.0147301
0.378 0.418552 -0.013899
0.38 0.421284 -0.0130619
0.382 0.42377 -0.0122193
0.384 0.426009 -0.0113718
0.386 0.428003 -0.0105198
0.388 0.429754 -0.00966376
0.39 0.431262 -0.00880426
0.392 0.432529 -0.00794173
0.394 0.433556 -0.00707667
0.396 0.434346 -0.00620956
0.398 0.434901 -0.00534087
0.4 0.435222 -0.00447107
0.402 0.435311 -0.00360062
0.404 0.435171 -0.00273
0.406 0.434804 -0.00185966
0.408 0.434213 -0.00099005
0.41 0.433399 -0.000121624
0.412 0.432366 0.000745175
0.414 0.431117 0.00160991
0.416 0.429653 0.00247214
0.418 0.427978 0.00333145
0.42 0.426094 0.0041874
0.422 0.424005 0.00503959
0.424 0.421713 0.0058876
0.426 0.419222 0.00673103
0.428 0.416535 0.00756947
0.43 0.413654 0.00840254
0.432 0.410583 0.00922985
0.434 0.407326 0.010051
0.436 0.403885 0.0108657
0.438 0.400263 0.0116734
0.44 0.396465 0.012474
0.442 0.392493 0.0132669
0.444 0.388351 0.0140519
0.446 0.384042 0.0148286
0.448 0.379569 0.0155967
0.45 0.374936 0.0163558
0.452 0.370147 0.0171057
0.454 0.365204 0.017846
0.456 0.360111 0.0185764
0.458 0.354873 0.0192966
0.46 0.349491 0.0200063
0.462 0.34397 0.0207053
0.464 0.338312 0.0213933
0.466 0.332522 0.0220699
0.468 0.326604 0.0227349
0.47 0.320559 0.0233881
0.472 0.314392 0.0240293
0.474 0.308107 0.024658
0.476 0.301706 0.0252743
0.478 0.295193 0.0258777
0.48 0.288571 0.0264681
0.482 0.281845 0.0270452
0.484 0.275016 0.0276089
0.486 0.26809 0.0281589
0.488 0.261068 0.0286951
0.49 0.253954 0.0292172
0.492 0.246753 0.0297251
0.494 0.239466 0.0302186
0.496 0.232097 0.0306976
0.498 0.22465 0.0311618
0.5 0.217128 0.0316111
0.502 0.209534 0.0320453
0.504 0.201871 0.0324644
0.506 0.194143 0.0328681
0.508 0.186353 0.0332564
0.51 0.178503 0.0336291
0.512 0.170598 0.0339861
0.514 0.162641 0.0343273
0.516 0.154634 0.0346526
0.518 0.146581 0.0349619
0.52 0.138484 0.035255
0.522 0.130348 0.035532
0.524 0.122175 0.0357927
0.526 0.113968 0.0360371
0.528 0.105731 0.036265
0.53 0.0974662 0.0364765
0.532 0.089177 0.0366714
0.534 0.0808664 0.0368497
0.536 0.0725376 0.0370115
0.538 0.0641935 0.0371566
0.54 0.0558373 0.0372849
0.542 0.047472 0.0373966
0.544 0.0391007 0.0374916
0.546 0.0307264 0.0375698
0.548 0.0223521 0.0376312
0.55 0.0139808 0.0376759
0.552 0.00561568 0.0377039
0.554 -0.00274038 0.0377151
0.556 -0.0110843 0.0377096
0.558 -0.0194131 0.0376875
0.56 -0.0277237 0.0376486
0.562 -0.0360131 0.0375932
0.564 -0.0442783 0.0375212
0.566 -0.0525163 0.0374326
0.568 -0.0607241 0.0373276
0.57 -0.0688986 0.0372061
0.572 -0.0770368 0.0370683
0.574 -0.0851357 0.0369143
0.576 -0.0931923 0.036744
0.578 -0.101204 0.0365576
0.58 -0.109166 0.0363552
0.582 -0.117078 0.0361369
0.584 -0.124935 0.0359027
0.586 -0.132735 0.0356528
0.588 -0.140474 0.0353874
0.59 -0.148149 0.0351064
0.592 -0.155758 0.0348101
0.594 -0.163297 0.0344986
0.596 -0.170764 0.034172
0.598 -0.178155 0.0338305
0.6 -0.185467 0.0334742
0.602 -0.192697 0.0331032
0.604 -0.199842 0.0327178
0.606 -0.2069 0.0323182
0.608 -0.213866 0.0319044
0.61 -0.220738 0.0314766
0.612 -0.227513 0.0310352
0.614 -0.234188 0.0305801
0.616 -0.24076 0.0301117
0.618 -0.247226 0.0296302
0.62 -0.253582 0.0291358
0.622 -0.259826 0.0286286
0.624 -0.265954 0.028109
0.626 -0.271964 0.0275771
0.628 -0.277853 0.0270331
0.63 -0.283617 0.0264774
0.632 -0.289254 0.0259102
0.634 -0.294761 0.0253317
0.636 -0.300134 0.0247422
0.638 -0.305372 0.0241419
0.64 -0.31047 0.0235311
0.642 -0.315426 0.0229102
0.644 -0.320237 0.0222794
0.646 -0.3249 0.0216389
0.648 -0.329413 0.0209891
0.65 -0.333773 0.0203302
0.652 -0.337977 0.0196627
0.654 -0.342021 0.0189867
0.656 -0.345905 0.0183027
0.658 -0.349624 0.0176109
0.66 -0.353177 0.0169116
0.662 -0.356561 0.0162053
0.664 -0.359773 0.0154922
0.666 -0.36281 0.0147726
0.668 -0.365672 0.014047
0.67 -0.368354 0.0133157
0.672 -0.370856 0.012579
0.674 -0.373174 0.0118372
0.676 -0.375307 0.0110909
0.678 -0.377253 0.0103403
0.68 -0.379009 0.00958578
0.682 -0.380574 0.00882776
0.684 -0.381945 0.00806661
0.686 -0.383123 0.00730272
0.688 -0.384103 0.00653648
0.69 -0.384886 0.00576827
0.692 -0.385469 0.0049985
0.694 -0.385852 0.00422756
0.696 -0.386032 0.00345586
0.698 -0.386009 0.00268379
0.7 -0.385783 0.00191177
0.702 -0.385351 0.00114021
0.704 -0.384713 0.000369507
0.706 -0.383869 -0.000399919
0.708 -0.382818 -0.00116766
0.71 -0.381559 -0.00193329
0.712 -0.380093 -0.00269641
0.714 -0.378419 -0.0034566
0.716 -0.376537 -0.00421344
0.718 -0.374447 -0.00496651
0.72 -0.372149 -0.0057154
0.722 -0.369645 -0.0064597
0.724 -0.366934 -0.00719899
0.726 -0.364017 -0.00793286
0.728 -0.360895 -0.00866089
0.73 -0.357569 -0.00938268
0.732 -0.354041 -0.0100978
0.734 -0.350311 -0.0108059
0.736 -0.346381 -0.0115065
0.738 -0.342252 -0.0121993
0.74 -0.337928 -0.0128838
0.742 -0.333408 -0.0135596
0.744 -0.328696 -0.0142265
0.746 -0.323794 -0.0148839
0.748 -0.318704 -0.0155314
0.75 -0.313429 -0.0161689
0.752 -0.307972 -0.0167957
0.754 -0.302335 -0.0174117
0.756 -0.296522 -0.0180163
0.758 -0.290536 -0.0186094
0.76 -0.28438 -0.0191904
0.762 -0.278057 -0.0197592
0.764 -0.271573 -0.0203153
0.766 -0.26493 -0.0208585
0.768 -0.258132 -0.0213883
0.77 -0.251183 -0.0219046
0.772 -0.244089 -0.0224069
0.774 -0.236853 -0.0228951
0.776 -0.229479 -0.0233688
0.778 -0.221973 -0.0238278
0.78 -0.21434 -0.0242717
0.782 -0.206583 -0.0247004
0.784 -0.198709 -0.0251136
0.786 -0.190722 -0.025511
0.788 -0.182628 -0.0258924
0.79 -0.174432 -0.0262577
0.792 -0.16614 -0.0266066
0.794 -0.157757 -0.0269388
0.796 -0.149288 -0.0272544
0.798 -0.14074 -0.0275529
0.8 -0.132119 -0.0278344
0.802 -0.123429 -0.0280987
0.804 -0.114678 -0.0283455
0.806 -0.105871 -0.0285749
0.808 -0.0970134 -0.0287866
0.81 -0.0881123 -0.0289806
0.812 -0.0791736 -0.0291569
0.814 -0.0702032 -0.0293152
0.816 -0.0612074 -0.0294556
0.818 -0.0521923 -0.029578
0.82 -0.0431641 -0.0296824
0.822 -0.0341289 -0.0297687
0.824 -0.025093 -0.029837
0.826 -0.0160624 -0.0298872
0.828 -0.00704326 -0.0299193
0.83 0.00195828 -0.0299334
0.832 0.0109362 -0.0299295
0.834 0.0198844 -0.0299076
0.836 0.028797 -0.0298678
0.838 0.0376681 -0.0298102
0.84 0.0464917 -0.0297349
0.842 0.0552621 -0.0296419
0.844 0.0639736 -0.0295314
0.846 0.0726205 -0.0294035
0.848 0.0811973 -0.0292582
0.85 0.0896985 -0.0290958
0.852 0.0981187 -0.0289164
0.854 0.106453 -0.0287202
0.856 0.114695 -0.0285073
0.858 0.122841 -0.0282779
0.86 0.130886 -0.0280322
0.862 0.138824 -0.0277704
0.864 0.146651 -0.0274928
0.866 0.154363 -0.0271995
0.868 0.161955 -0.0268908
0.87 0.169422 -0.0265668
0.872 0.176761 -0.026228
0.874 0.183967 -0.0258745
0.876 0.191037 -0.0255065
0.878 0.197966 -0.0251245
0.88 0.204751 -0.0247285
0.882 0.211389 -0.024319
0.884 0.217876 -0.0238963
0.886 0.224209 -0.0234605
0.888 0.230386 -0.0230121
0.89 0.236402 -0.0225513
0.892 0.242256 -0.0220785
0.894 0.247944 -0.021594
0.896 0.253465 -0.0210981
0.898 0.258815 -0.0205912
0.9 0.263994 -0.0200736
0.902 0.268999 -0.0195456
0.904 0.273827 -0.0190076
0.906 0.278478 -0.0184599
0.908 0.28295 -0.017903
0.91 0.287241 -0.0173371
0.912 0.29135 -0.0167626
0.914 0.295277 -0.0161799
0.916 0.299019 -0.0155893
0.918 0.302577 -0.0149913
0.92 0.305949 -0.0143861
0.922 0.309135 -0.0137742
0.924 0.312134 -0.013156
0.926 0.314947 -0.0125317
0.928 0.317573 -0.0119018
0.93 0.320011 -0.0112667
0.932 0.322263 -0.0106266
0.934 0.324328 -0.00998211
0.936 0.326207 -0.00933346
0.938 0.327899 -0.00868104
0.94 0.329406 -0.00802524
0.942 0.330728 -0.00736643
0.944 0.331866 -0.00670498
0.946 0.332821 -0.00604124
0.948 0.333593 -0.0053756
0.95 0.334184 -0.00470842
0.952 0.334595 -0.00404005
0.954 0.334826 -0.00337086
0.956 0.334881 -0.00270121
0.958 0.334758 -0.00203144
0.96 0.334461 -0.00136193
0.962 0.333991 -0.000693005
0.964 0.333349 -2.50227e-05
0.966 0.332537 0.000641676
0.968 0.331557 0.00130675
0.97 0.330411 0.00196986
0.972 0.3291 0.00263069
0.974 0.327626 0.00328889
0.976 0.325992 0.00394414
0.978 0.3242 0.00459612
0.98 0.322251 0.00524452
0.982 0.320148 0.00588903
0.984 0.317893 0.00652932
0.986 0.315488 0.00716511
0.988 0.312936 0.00779608
0.99 0.310239 0.00842196
0.992 0.307398 0.00904243
0.994 0.304418 0.00965723
0.996 0.301299 0.0102661
0.998 0.298045 0.0108687
1 0.294658 0.0114648
1.002 0.291141 0.0120541
1.004 0.287496 0.0126364
1.006 0.283725 0.0132113
1.008 0.279832 0.0137788
1.01 0.275818 0.0143385
1.012 0.271687 0.0148901
1.014 0.267441 0.0154335
1.016 0.263083 0.0159684
1.018 0.258615 0.0164945
1.02 0.25404 0.0170117
1.022 0.249361 0.0175198
1.024 0.24458 0.0180185
1.026 0.239701 0.0185077
1.028 0.234725 0.0189871
1.03 0.229656 0.0194566
1.032 0.224497 0.0199159
1.034 0.219249 0.0203649
1.036 0.213916 0.0208034
1.038 0.208501 0.0212312
1.04 0.203006 0.0216482
1.042 0.197434 0.0220542
1.044 0.191788 0.0224491
1.046 0.18607 0.0228327
1.048 0.180284 0.0232048
1.05 0.174431 0.0235654
1.052 0.168515 0.0239142
1.054 0.162538 0.0242513
1.056 0.156504 0.0245763
1.058 0.150414 0.0248893
1.06 0.144272 0.0251902
1.062 0.138081 0.0254787
1.064 0.131842 0.0257549
1.066 0.125559 0.0260186
1.068 0.119234 0.0262697
1.07 0.112871 0.0265081
1.072 0.106472 0.0267339
1.074 0.100039 0.0269468
1.076 0.0935748 0.0271469
1.078 0.087083 0.0273341
1.08 0.0805658 0.0275082
1.082 0.074026 0.0276694
1.084 0.067466 0.0278174
1.086 0.0608888 0.0279523
1.088 0.0542969 0.0280741
1.09 0.0476929 0.0281827
1.092 0.0410796 0.0282781
1.094 0.0344596 0.0283603
1.096 0.0278356 0.0284292
1.098 0.0212101 0.0284848
1.1 0.0145859 0.0285273
1.102 0.00796563 0.0285564
1.104 0.00135185 0.0285724
1.106 -0.00525276 0.0285751
1.108 -0.0118456 0.0285646
1.11 -0.018424 0.0285409
1.112 -0.0249854 0.028504
1.114 -0.0315271 0.0284541
1.116 -0.0380465 0.028391
1.118 -0.0445411 0.0283149
1.12 -0.0510082 0.0282258
1.122 -0.0574451 0.0281238
1.124 -0.0638494 0.0280089
1.126 -0.0702185 0.0278812
1.128 -0.0765496 0.0277408
1.13 -0.0828403 0.0275877
1.132 -0.0890879 0.027422
1.134 -0.09529 0.0272438
1.136 -0.101444 0.0270533
1.138 -0.107547 0.0268504
1.14 -0.113597 0.0266353
1.142 -0.119591 0.0264081
1.144 -0.125526 0.0261689
1.146 -0.131401 0.0259178
1.148 -0.137212 0.025655
1.15 -0.142957 0.0253806
1.152 -0.148634 0.0250947
1.154 -0.154239 0.0247974
1.156 -0.159771 0.024489
1.158 -0.165227 0.0241694
1.16 -0.170605 0.023839
1.162 -0.175902 0.0234978
1.164 -0.181115 0.0231459
1.166 -0.186243 0.0227837
1.168 -0.191282 0.0224112
1.17 -0.196231 0.0220287
1.172 -0.201086 0.0216362
1.174 -0.205847 0.021234
1.176 -0.210509 0.0208223
1.178 -0.215072 0.0204013
1.18 -0.219532 0.0199712
1.182 -0.223887 0.0195321
1.184 -0.228136 0.0190843
1.186 -0.232275 0.0186281
1.188 -0.236303 0.0181635
1.19 -0.240218 0.0176909
1.192 -0.244017 0.0172105
1.194 -0.247698 0.0167224
1.196 -0.251259 0.016227
1.198 -0.254699 0.0157245
1.2 -0.258014 0.0152151
1.202 -0.261203 0.0146991
1.204 -0.264265 0.0141767
1.206 -0.267197 0.0136482
1.208 -0.269997 0.0131138
1.21 -0.272664 0.0125738
1.212 -0.275196 0.0120284
1.214 -0.277591 0.0114781
1.216 -0.279847 0.0109229
1.218 -0.281963 0.0103632
1.22 -0.283938 0.00979926
1.222 -0.285769 0.00923138
1.224 -0.287456 0.00865984
1.226 -0.288997 0.00808493
1.228 -0.29039 0.00750694
1.23 -0.291636 0.00692616
1.232 -0.292731 0.00634289
1.234 -0.293676 0.00575743
1.236 -0.294469 0.00517007
1.238 -0.295109 0.00458114
1.24 -0.295596 0.00399092
1.242 -0.295928 0.00339973
1.244 -0.296105 0.00280787
1.246 -0.296126 0.00221566
1.248 -0.295991 0.00162341
1.25 -0.295699 0.00103143
1.252 -0.295251 0.000440029
1.254 -0.294644 -0.000150472
1.256 -0.29388 -0.000739761
1.258 -0.292959 -0.00132752
1.26 -0.29188 -0.00191344
1.262 -0.290643 -0.0024972
1.264 -0.289248 -0.00307848
1.266 -0.287697 -0.00365698
1.268 -0.285989 -0.00423237
1.27 -0.284124 -0.00480435
1.272 -0.282104 -0.0053726
1.274 -0.279929 -0.00593681
1.276 -0.2776 -0.00649666
1.278 -0.275117 -0.00705186
1.28 -0.272483 -0.0076021
1.282 -0.269697 -0.00814706
1.284 -0.266762 -0.00868646
1.286 -0.263678 -0.00921998
1.288 -0.260447 -0.00974734
1.29 -0.257071 -0.0102682
1.292 -0.253551 -0.0107824
1.294 -0.249889 -0.0112895
1.296 -0.246087 -0.0117893
1.298 -0.242146 -0.0122814
1.3 -0.23807 -0.0127657
1.302 -0.23386 -0.0132419
1.304 -0.229519 -0.0137096
1.306 -0.225049 -0.0141686
1.308 -0.220452 -0.0146187
1.31 -0.215732 -0.0150596
1.312 -0.21089 -0.0154911
1.314 -0.20593 -0.0159129
1.316 -0.200855 -0.0163247
1.318 -0.195667 -0.0167264
1.32 -0.190371 -0.0171178
1.322 -0.184968 -0.0174985
1.324 -0.179463 -0.0178684
1.326 -0.173858 -0.0182274
1.328 -0.168157 -0.0185751
1.33 -0.162365 -0.0189114
1.332 -0.156483 -0.0192361
1.334 -0.150517 -0.0195491
1.336 -0.144469 -0.0198501
1.338 -0.138345 -0.0201391
1.34 -0.132146 -0.0204158
1.342 -0.125879 -0.0206801
1.344 -0.119545 -0.0209318
1.346 -0.113151 -0.0211709
1.348 -0.106699 -0.0213972
1.35 -0.100194 -0.0216106
1.352 -0.0936405 -0.021811
1.354 -0.0870422 -0.0219983
1.356 -0.0804035 -0.0221724
1.358 -0.0737288 -0.0223332
1.36 -0.0670224 -0.0224806
1.362 -0.0602887 -0.0226147
1.364 -0.0535321 -0.0227352
1.366 -0.0467569 -0.0228423
1.368 -0.0399675 -0.0229358
1.37 -0.0331684 -0.0230158
1.372 -0.0263639 -0.0230821
1.374 -0.0195584 -0.0231348
1.376 -0.0127563 -0.0231739
1.378 -0.00596205 -0.0231994
1.38 0.000820118 -0.0232114
1.382 0.00758583 -0.0232097
1.384 0.0143308 -0.0231946
1.386 0.0210507 -0.0231659
1.388 0.0277413 -0.0231238
1.39 0.0343985 -0.0230683
1.392 0.041018 -0.0229995
1.394 0.0475958 -0.0229175
1.396 0.0541277 -0.0228223
1.398 0.0606098 -0.022714
1.4 0.0670382 -0.0225928
1.402 0.0734089 -0.0224587
1.404 0.0797181 -0.0223119
1.406 0.085962 -0.0221525
1.408 0.092137 -0.0219806
1.41 0.0982394 -0.0217963
1.412 0.104266 -0.0215998
1.414 0.110212 -0.0213913
1.416 0.116076 -0.0211709
1.418 0.121853 -0.0209387
1.42 0.127541 -0.020695
1.422 0.133137 -0.0204399
1.424 0.138636 -0.0201736
1.426 0.144037 -0.0198964
1.428 0.149337 -0.0196083
1.43 0.154532 -0.0193096
1.432 0.15962 -0.0190006
1.434 0.164599 -0.0186813
1.436 0.169466 -0.0183521
1.438 0.174219 -0.0180132
1.44 0.178855 -0.0176647
1.442 0.183372 -0.017307
1.444 0.187768 -0.0169403
1.446 0.192042 -0.0165648
1.448 0.19619 -0.0161807
1.45 0.200213 -0.0157883
1.452 0.204107 -0.0153879
1.454 0.207871 -0.0149797
1.456 0.211505 -0.0145639
1.458 0.215006 -0.0141409
1.46 0.218373 -0.0137109
1.462 0.221605 -0.0132741
1.464 0.224701 -0.0128309
1.466 0.22766 -0.0123815
1.468 0.230482 -0.0119262
1.47 0.233165 -0.0114652
1.472 0.235708 -0.0109989
1.474 0.238112 -0.0105275
1.476 0.240376 -0.0100513
1.478 0.242499 -0.00957052
1.48 0.244481 -0.00908553
1.482 0.246322 -0.00859656
1.484 0.248021 -0.00810392
1.486 0.249579 -0.00760788
1.488 0.250996 -0.00710872
1.49 0.252272 -0.00660673
1.492 0.253407 -0.00610218
1.494 0.254402 -0.00559537
1.496 0.255256 -0.00508657
1.498 0.255971 -0.00457605
1.5 0.256546 -0.00406411
1.502 0.256983 -0.00355102
1.504 0.257282 -0.00303705
1.506 0.257443 -0.00252249
1.508 0.257469 -0.00200761
1.51 0.257359 -0.00149267
1.512 0.257114 -0.000977951
1.514 0.256736 -0.000463723
1.516 0.256225 4.97492e-05
1.518 0.255584 0.0005622
1.52 0.254812 0.00107337
1.522 0.253911 0.00158299
1.524 0.252883 0.00209081
1.526 0.251728 0.00259658
1.528 0.250449 0.00310004
1.53 0.249046 0.00360093
1.532 0.247521 0.00409902
1.534 0.245876 0.00459407
1.536 0.244112 0.00508582
1.538 0.242231 0.00557404
1.54 0.240235 0.00605851
1.542 0.238124 0.00653898
1.544 0.235901 0.00701522
1.546 0.233568 0.00748703
1.548 0.231127 0.00795416
1.55 0.228579 0.00841642
1.552 0.225925 0.00887357
1.554 0.223169 0.00932543
1.556 0.220312 0.00977176
1.558 0.217355 0.0102124
1.56 0.214302 0.0106471
1.562 0.211153 0.0110757
1.564 0.20791 0.011498
1.566 0.204577 0.0119138
1.568 0.201154 0.012323
1.57 0.197644 0.0127253
1.572 0.19405 0.0131206
1.574 0.190372 0.0135087
1.576 0.186613 0.0138894
1.578 0.182776 0.0142626
1.58 0.178862 0.0146282
1.582 0.174874 0.0149859
1.584 0.170813 0.0153357
1.586 0.166682 0.0156773
1.588 0.162483 0.0160107
1.59 0.158219 0.0163356
1.592 0.153891 0.0166521
1.594 0.149502 0.0169598
1.596 0.145053 0.0172588
1.598 0.140548 0.017549
1.6 0.135988 0.0178301
1.602 0.131375 0.018102
1.604 0.126712 0.0183648
1.606 0.122001 0.0186182
1.608 0.117244 0.0188622
1.61 0.112444 0.0190967
1.612 0.107603 0.0193216
1.614 0.102722 0.0195368
1.616 0.0978049 0.0197422
1.618 0.0928531 0.0199378
1.62 0.0878689 0.0201235
1.622 0.0828547 0.0202993
1.624 0.0778126 0.020465
1.626 0.0727451 0.0206206
1.628 0.0676542 0.0207661
1.63 0.0625423 0.0209014
1.632 0.0574116 0.0210265
1.634 0.0522643 0.0211413
1.636 0.0471028 0.0212459
1.638 0.0419291 0.0213401
1.64 0.0367457 0.0214239
1.642 0.0315546 0.0214974
1.644 0.0263582 0.0215605
1.646 0.0211587 0.0216132
1.648 0.0159583 0.0216556
1.65 0.0107593 0.0216875
1.652 0.00556379 0.021709
1.654 0.000374078 0.0217201
1.656 -0.00480764 0.0217209
1.658 -0.00997914 0.0217112
1.66 -0.0151382 0.0216913
1.662 -0.0202827 0.021661
1.664 -0.0254104 0.0216204
1.666 -0.0305191 0.0215696
1.668 -0.0356066 0.0215086
1.67 -0.0406707 0.0214374
1.672 -0.0457093 0.021356
1.674 -0.0507202 0.0212646
1.676 -0.0557013 0.0211632
1.678 -0.0606503 0.0210518
1.68 -0.0655652 0.0209305
1.682 -0.0704439 0.0207993
1.684 -0.0752841 0.0206585
1.686 -0.0800838 0.0205079
1.688 -0.0848409 0.0203477
1.69 -0.0895533 0.020178
1.692 -0.0942189 0.0199989
1.694 -0.0988356 0.0198105
1.696 -0.103401 0.0196128
1.698 -0.107914 0.019406
1.7 -0.112372 0.0191902
1.702 -0.116773 0.0189654
1.704 -0.121114 0.0187319
1.706 -0.125395 0.0184897
1.708 -0.129612 0.0182389
1.71 -0.133765 0.0179797
1.712 -0.137851 0.0177121
1.714 -0.141867 0.0174364
1.716 -0.145813 0.0171527
1.718 -0.149687 0.0168611
1.72 -0.153486 0.0165617
1.722 -0.157208 0.0162547
1.724 -0.160852 0.0159403
1.726 -0.164416 0.0156186
1.728 -0.167899 0.0152898
1.73 -0.171298 0.014954
1.732 -0.174611 0.0146114
1.734 -0.177838 0.0142622
1.736 -0.180976 0.0139065
1.738 -0.184024 0.0135445
